Order ID,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Amount Refunded,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Lineitem variant,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Address1,Billing Address2,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Address1,Shipping Address2,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Cancelled at,Private Notes,Channel Type,Channel Name,Channel Order Number,Checkout Form: Notes & Special Instructions,Product Form: Parent/Guardian Name,Product Form: Parent/Guardian Phone,Product Form: Student Name/ Names,Product Form: Student Grade/ Grades,"Product Form: Please list any interests, special needs, allergies or other information about the student that you would like the teacher to know.",Product Form: How did you hear about Big Picture?,Product Form: CHECK OUT INSTRUCTIONS,Payment Method,Payment Reference
3020,director@bpgalleryandstudio.com,PAID,2022-03-01 09:34:02 -0600,pending,,USD,128,0,0,0,128,,0,,2022-03-01 09:34:02 -0600,1,Beginning Artist Studio,64,SQ9951357,"4/Wednesday, 5:15 - 6:15pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,3020,,John Doe,(319) 343-7240,Johnny Doe,1,,,,Stripe,ch_3KYXiAAa5nK8OUXS0kSo9Uiw
3020,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ4589002,"5/Wednesday, 5:15 - 6:15pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,John Doe,(319) 343-7240,Janie Doe,1,,,,,
3001,director@bpgalleryandstudio.com,PAID,2022-02-25 10:11:12 -0600,pending,,USD,64,0,0,0,64,,0,,2022-02-25 10:11:12 -0600,1,Beginning Artist Studio,64,SQ7509457,"4/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,3001,,Jane Doe,(319) 343-7240,Johnny Doe,4,,,,Stripe,ch_3KX6NwAa5nK8OUXS38ijKxHn
2999,director@bpgalleryandstudio.com,PAID,2022-02-24 13:55:32 -0600,pending,,USD,128,0,0,0,128,,0,,2022-02-24 13:55:32 -0600,1,Beginning Artist Studio,64,SQ9951357,"4/Wednesday, 5:15 - 6:15pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2999,,John Doe,(319) 343-7240,Janie Doe,2nd grade,,,,Stripe,ch_3KWnPUAa5nK8OUXS1KpLVafg
2999,director@bpgalleryandstudio.com,,,,,,,,,,,,,,,1,Beginning Artist Studio,64,SQ4589002,"5/Wednesday, 5:15 - 6:15pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,,,,,,,,,,,,,,,,,Jane Doe,(319) 343-7240,Johnny Doe,2nd grade,,,,,
2985,director@bpgalleryandstudio.com,PAID,2022-02-21 12:15:38 -0600,pending,,USD,128,0,0,0,128,,0,,2022-02-21 12:15:38 -0600,1,Beginning Artist Studio,64,SQ3308422,"3/Monday, 6:30 - 7:30pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2985,,John Doe,(319) 343-7240,Janie Doe,1st,,,,Stripe,ch_3KVgQAAa5nK8OUXS2SsQ34X3
2970,director@bpgalleryandstudio.com,PAID,2022-02-17 19:07:37 -0600,pending,,USD,128,0,0,0,128,,0,,2022-02-17 19:07:37 -0600,2,Beginning Artist Studio,64,SQ3308422,"3/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2970,,Jane Doe,(319) 343-7240,Johnny Doe,"1, 2",,Currently enrolled!,,Stripe,ch_3KUKwfAa5nK8OUXS3DggH479
2940,director@bpgalleryandstudio.com,PAID,2022-02-07 21:45:18 -0600,pending,,USD,64,0,0,0,64,,0,,2022-02-07 21:45:18 -0600,1,Beginning Artist Studio,64,SQ3308422,"3/Monday, 6:30 - 7:30pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2940,,John Doe,(319) 343-7240,Janie Doe,1st,N/A,Google,,Stripe,ch_3KQkdmAa5nK8OUXS06lWFqb2
2938,director@bpgalleryandstudio.com,PAID,2022-02-07 17:21:56 -0600,pending,,USD,64,0,0,0,64,,0,,2022-02-07 17:21:56 -0600,1,Beginning Artist Studio,64,SQ3308422,"3/Monday, 6:30 - 7:30pm",false,true,pending,Jane Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2938,,Jane Doe,(319) 343-7240,Johnny Doe,Kindergarten,,I saw your studio listed on a website for birthday party suggestions/locations.,,Stripe,ch_3KQgWuAa5nK8OUXS0RGlHtvb
2926,director@bpgalleryandstudio.com,PAID,2022-02-04 15:33:21 -0600,pending,,USD,128,0,0,0,128,,0,,2022-02-04 15:33:21 -0600,2,Beginning Artist Studio,64,SQ0759320,"3/Tuesday, 4 - 5pm",false,true,pending,John Doe,185 Hwy 965 Suite 3,,North Liberty,52317,IA,United States,,,,,,,,,,,,ONLINE,Squarespace,2926,NA,John Doe,(319) 343-7240,Janie Doe,1st ,,,,Stripe,ch_3KPZPBAa5nK8OUXS0zv8tnqa
